capitulo_codigo,capitulo_nombre,codigo_cie10,nombre
I,Ciertas enfermedades infecciosas y parasitarias,A00,Colera
I,Ciertas enfermedades infecciosas y parasitarias,A06,Amebiasis
I,Ciertas enfermedades infecciosas y parasitarias,A09,Diarrea y gastroenteritis de presunto origen infeccioso
I,Ciertas enfermedades infecciosas y parasitarias,A15,Tuberculosis respiratoria confirmada
I,Ciertas enfermedades infecciosas y parasitarias,A33,Tetanos neonatal
I,Ciertas enfermedades infecciosas y parasitarias,A37,Tos ferina
I,Ciertas enfermedades infecciosas y parasitarias,A38,Escarlatina
I,Ciertas enfermedades infecciosas y parasitarias,A90,Dengue clasico
I,Ciertas enfermedades infecciosas y parasitarias,B01,Varicela
I,Ciertas enfermedades infecciosas y parasitarias,B05,Sarampion
I,Ciertas enfermedades infecciosas y parasitarias,B06,Rubeola
I,Ciertas enfermedades infecciosas y parasitarias,B15,Hepatitis aguda tipo A
I,Ciertas enfermedades infecciosas y parasitarias,B26,Parotiditis (paperas)
I,Ciertas enfermedades infecciosas y parasitarias,B34,Infeccion viral de sitio no especificado
I,Ciertas enfermedades infecciosas y parasitarias,B82,Parasitosis intestinal
I,Ciertas enfermedades infecciosas y parasitarias,B86,Escabiosis (sarna)
II,Neoplasias (tumores),C71,Tumor maligno del encefalo
II,Neoplasias (tumores),C91,Leucemia linfoide
II,Neoplasias (tumores),D18,Hemangioma y linfangioma
III,Enfermedades de la sangre y de los organos hematopoyeticos,D50,Anemia por deficiencia de hierro
III,Enfermedades de la sangre y de los organos hematopoyeticos,D56,Talasemia
III,Enfermedades de la sangre y de los organos hematopoyeticos,D57,Trastornos falciformes
III,Enfermedades de la sangre y de los organos hematopoyeticos,D69,Purpura y otras afecciones hemorragicas
IV,Enfermedades endocrinas nutricionales y metabolicas,E03,Hipotiroidismo
IV,Enfermedades endocrinas nutricionales y metabolicas,E10,Diabetes mellitus tipo 1
IV,Enfermedades endocrinas nutricionales y metabolicas,E11,Diabetes mellitus tipo 2
IV,Enfermedades endocrinas nutricionales y metabolicas,E44,Desnutricion proteico-calorica moderada y leve
IV,Enfermedades endocrinas nutricionales y metabolicas,E46,Desnutricion proteico-calorica no especificada
IV,Enfermedades endocrinas nutricionales y metabolicas,E66,Obesidad
IV,Enfermedades endocrinas nutricionales y metabolicas,E86,Deshidratacion
V,Trastornos mentales y del comportamiento,F32,Episodio depresivo
V,Trastornos mentales y del comportamiento,F41,Otros trastornos de ansiedad
V,Trastornos mentales y del comportamiento,F43,Reaccion a estres grave y trastornos de adaptacion
V,Trastornos mentales y del comportamiento,F70,Retraso mental leve
V,Trastornos mentales y del comportamiento,F71,Retraso mental moderado
V,Trastornos mentales y del comportamiento,F80,Trastornos del desarrollo del habla y del lenguaje
V,Trastornos mentales y del comportamiento,F84,Trastornos generalizados del desarrollo (espectro autista)
